"Story","Title","Result","Date","Stability","Duration (s)"
"Agregar un producto de forma exitosa al carrito de compras","Agregar un producto de forma exitosa al carrito de compras","SUCCESS","2023-05-25T15:28:20.842-05:00[America/Bogota]","0.0","23.15"
"Registrar un usuario de forma exitosa","Registro exitoso de usuario","SUCCESS","2023-05-25T15:28:44.688-05:00[America/Bogota]","0.0","40.03"
